category,page_url,title_h2,spanish,guarani,image_count,image_paths
Fauna,https://spl.gov.py/dampy/Fauna/Acut%C3%AD/acuti.html,acutí,acutí,,1,images/Fauna/acuti/acuti_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Aguar%C3%A1/aguara.html,aguará,aguará,,1,images/Fauna/aguara/aguara_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Tuyuy%C3%BA/tuyuyu.html,tuyuyú,tuyuyú,,1,images/Fauna/tuyuyu/tuyuyu_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/An%C3%B3/ano.html,anó,anó,,1,images/Fauna/ano/ano_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Arar%C3%A1/arara.html,arará,arará,,1,images/Fauna/arara/arara_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Cabur%C3%A9/cabure.html,caburé,caburé,,1,images/Fauna/cabure/cabure_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Caracar%C3%A1/caracara.html,caracará,caracará,,1,images/Fauna/caracara/caracara_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Car%C3%A1u/carau.html,caráu,caráu,,1,images/Fauna/carau/carau_0.png
Fauna,https://spl.gov.py/dampy/Fauna/Caray%C3%A1/caraya.html,carayá,carayá,,1,images/Fauna/caraya/caraya_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Carpincho/carpincho.html,carpincho,carpincho,,1,images/Fauna/carpincho/carpincho_0.jpeg
Fauna,https://spl.gov.py/dampy/Fauna/Carumb%C3%A9/carumbe.html,carumbé,carumbé,,1,images/Fauna/carumbe/carumbe_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Chaj%C3%A1/chaja.html,chajá,chajá,,1,images/Fauna/chaja/chaja_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Chancho/chancho.html,chancho,"chancho, chancha",,1,images/Fauna/chancho/chancho_0.jpeg
Fauna,https://spl.gov.py/dampy/Fauna/Coat%C3%AD/coati.html,coatí,coatí,,1,images/Fauna/coati/coati_0.png
Fauna,https://spl.gov.py/dampy/Fauna/Colibr%C3%AD/colibri.html,colibrí,colibrí,,1,images/Fauna/colibri/colibri_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Curiy%C3%BA/curiyu.html,curiyú,curiyú,,1,images/Fauna/curiyu/curiyu_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Curur%C3%BA/cururu.html,cururú,kururú,,1,images/Fauna/cururu/cururu_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Dorado/dorado.html,dorado,dorado,,1,images/Fauna/dorado/dorado_0.png
Fauna,https://spl.gov.py/dampy/Fauna/Eir%C3%A1/eira.html,eirá,eirá,,1,images/Fauna/eira/eira_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Gato%20onza/gatoonza.html,gato onza,gato onza,,1,images/Fauna/gatoonza/gatoonza_0.png
Fauna,https://spl.gov.py/dampy/Fauna/Guas%C3%BA/guasu.html,guasú,guasú,,1,images/Fauna/guasu/guasu_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Guasuvir%C3%A1/guasuvira.html,guasuvirá,guasuvirá,,1,images/Fauna/guasuvira/guasuvira_0.jpeg
Fauna,https://spl.gov.py/dampy/Fauna/Le%C3%B3n/leon.html,león,león,,1,images/Fauna/leon/leon_0.png
Fauna,https://spl.gov.py/dampy/Fauna/Lorito/lorito.html,lorito,lorito,,1,images/Fauna/lorito/lorito_0.jpeg
Fauna,https://spl.gov.py/dampy/Fauna/Maracan%C3%A1/maracana.html,maracaná,maracaná,,1,images/Fauna/maracana/maracana_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Mbigu%C3%A1/mbigua.html,mbiguá,mbiguá,,1,images/Fauna/mbigua/mbigua_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/Mborev%C3%AD/mborevi.html,mboreví,mboreví,,1,images/Fauna/mborevi/mborevi_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/%C3%91acurut%C3%BA/nacurutu.html,ñacurutú,ñacurutú,,1,images/Fauna/nacurutu/nacurutu_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/%C3%91and%C3%A1i/nanday.html,ñandái,ñandái,,1,images/Fauna/nanday/nanday_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/%C3%91and%C3%BA/nandu.html,ñandú,ñandú,,1,images/Fauna/nandu/nandu_0.jpg
Fauna,https://spl.gov.py/dampy/Fauna/P%C3%A1jaro%20campana/pajarocampana.html,pájaro campana,pájaro campana,,1,images/Fauna/pajarocampana/pajarocampana_0.jpg
