category,page_url,title_h2,spanish,guarani,image_count,image_paths
Flora,https://spl.gov.py/dampy/Flora/Aguacate/aguacate.html,aguacate,aguacate,,1,images/Flora/aguacate/aguacate_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Ambay/ambay.html,ambay,ambay,,1,images/Flora/ambay/ambay_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Cangorosa/cangorosa.html,cangorosa,cangorosa,,1,images/Flora/cangorosa/cangorosa_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Caraguat%C3%A1/caraguata.html,caraguatá,caraguatá,karaguata,1,images/Flora/caraguata/caraguata_0.jpg
Flora,https://spl.gov.py/dampy/Flora/Cebolla%20de%20verdeo%20o%20de%20hoja/cebolladeverdeoodehoja.html,cebolla de verdeo o de hoja,cebolla de verdeo o de hoja,,1,images/Flora/cebolladeverdeoodehoja/cebolladeverdeoodehoja_0.jpeg
Flora,"https://spl.gov.py/dampy/Flora/Cocotero,%20mbocay%C3%A1/cocoterombocaya.html","cocotero, mbocayá","cocotero, mbocayá",,1,images/Flora/cocoterombocaya/cocoterombocaya_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Curupay/curupay.html,curupay,curupay,,1,images/Flora/curupay/curupay_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Curupicay/curupicay.html,curupicay,curupicay,,1,images/Flora/curupicay/curupicay_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Frutilla/frutilla.html,frutilla,frutilla,,1,images/Flora/frutilla/frutilla_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Guapur%C3%BA/guapuru.html,guapurú,guapurú,,1,images/Flora/guapuru/guapuru_0.png
Flora,https://spl.gov.py/dampy/Flora/Guayaib%C3%AD/guayaibi.html,guayaibí,guayaibí,,1,images/Flora/guayaibi/guayaibi_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/G%C3%BCemb%C3%A9/guembe.html,güembé,güembé,,1,images/Flora/guembe/guembe_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Lapacho%20amarillo/lapachoamarillo.html,lapacho amarillo,lapacho amarillo,,1,images/Flora/lapachoamarillo/lapachoamarillo_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Lapacho%20blanco/lapachoblanco.html,lapacho blanco,lapacho blanco,,1,images/Flora/lapachoblanco/lapachoblanco_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Lapacho%20rosado/lapachorosado.html,lapacho rosado,lapacho rosado,,1,images/Flora/lapachorosado/lapachorosado_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Naranja%20apep%C3%BA/apepu.html,naranja apepú,naranja apepú,,1,images/Flora/apepu/apepu_0.png
Flora,https://spl.gov.py/dampy/Flora/Palo%20borracho/paloborracho.html,palo borracho,palo borracho,,1,images/Flora/paloborracho/paloborracho_0.png
Flora,https://spl.gov.py/dampy/Flora/Pata%20de%20buey/patadebuey.html,pata de buey,pata de buey,,1,images/Flora/patadebuey/patadebuey_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Petereby/petereby.html,petereby,"petereby, peterevy",,1,images/Flora/petereby/petereby_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Quinoto/guinoto.html,quinoto,quinoto,,1,images/Flora/guinoto/guinoto_0.png
Flora,https://spl.gov.py/dampy/Flora/Rosa%20mosqueta/rosamosqueta.html,rosa mosqueta,rosa mosqueta,,1,images/Flora/rosamosqueta/rosamosqueta_0.jpeg
Flora,https://spl.gov.py/dampy/Flora/Tacuara/tacuara.html,tacuara,tacuara,,1,images/Flora/tacuara/tacuara_0.jpeg
