identifier,page_url,title,creator,date,subject,mediatype,description,image_count,image_paths
represion-a-la-protestas-social-en-guatemala,https://archive.org/details/represion-a-la-protestas-social-en-guatemala,Semanario #36: nos levantamos junto a Guatemala,Latinoamérica Rompe el Cerco,,Territorio; abya yala,image,"23 de noviembre 2020 | Emisión N° 36 | 3° temporada                                     Levantamiento popular exige renuncia del presidente de #Guatemala. Devenir de la democracia en #Perú. Peligro de desalojo a comunidad guaraní en #Argentina. Impacto de los huracanes en #mesoamerica. Encuentro Internacional sobre economías populares desde #Venezuela. Lucha por el agua contra Hidrotambo en #Ecuador  Reportes a Guatemala, Perú, Panamá, Venezuela, Ecuador y Argentina Comunican Patricia Segundo, D",5,images/represion-a-la-protestas-social-en-guatemala/Represión a la protestas social en Guatemala.jpg | images/represion-a-la-protestas-social-en-guatemala/Represión a la protestas social en Guatemala_thumb.jpg | images/represion-a-la-protestas-social-en-guatemala/__ia_thumb.jpg | images/represion-a-la-protestas-social-en-guatemala/semanario #36.png | images/represion-a-la-protestas-social-en-guatemala/semanario #36_spectrogram.png
alondra-feliz,https://archive.org/details/alondra-feliz,Alondra Feliz,Edgar Galeano Domínguez,,Música Paraguaya,image,Música Paraguaya: Alondra Feliz ( Versión Guaraní ),3,images/alondra-feliz/Alondra Feliz.jpg | images/alondra-feliz/Alondra Feliz_thumb.jpg | images/alondra-feliz/__ia_thumb.jpg
photo_2021-11-30_08-58-05,https://archive.org/details/photo_2021-11-30_08-58-05,Semanario N° 75,Latinoamérica Rompe el Cerco,,noticias; territorios,image,SEMANARIO DE NOTICIAS de LATINOAMÉRICA ROMPE EL CERCO Programa N° 75 | 5ta temporada #Panamá #México #Ecuador #Paraguay #Guatemala  *Experiencia en defensa del agua desde México  *Reclaman que se cree área protegidaen Panamá *Fotografiada dominical trans en Ecuador *Continúan los desalojos a indígenas en Paraguay *Desalojos represivos en Guatemala *Criminalización de defensorxs de la tierra en Ecuador 🎶 Recomendado musical desde #Colombia #plurinacional Canción sin miedo Voces que resuenan:  Aye,5,images/photo_2021-11-30_08-58-05/Semanario LRC # 75.png | images/photo_2021-11-30_08-58-05/Semanario LRC # 75_spectrogram.png | images/photo_2021-11-30_08-58-05/__ia_thumb.jpg | images/photo_2021-11-30_08-58-05/photo_2021-11-30_08-58-05.jpg | images/photo_2021-11-30_08-58-05/photo_2021-11-30_08-58-05_thumb.jpg
VE-IMG-5975,https://archive.org/details/VE-IMG-5975,Southern Brazil,"Jacques Descloitres, MODIS Rapid Response Team, NASA/GSFC",2003-10-04T00:00:00Z,Where -- Brazil; Where -- Chile; Where -- Ecuador; Where -- Paraguay; Where -- Argentina; Where -- Uruguay,image,"Brazil’s southern states stretch along the Atlantic coastline in this &lt;a href=""http://modis.gsfc.nasa.gov"" target=""outlink""&gt;Moderate Resolution Imaging Spectroradiometer&lt;/a&gt; (MODIS) image taken on August 18, 2003. As South America’s largest nation, Brazil shares borders with every South American country expect Chile and Ecuador. Visible in this image are Paraguay (top left), Argentina (center left), and Uruguay (bottom left). Multiple fires (red dots) are also shown in the image.Wide",3,images/VE-IMG-5975/Brazil.A2003230.1340.2km.jpg | images/VE-IMG-5975/Brazil.A2003230.1340.2km_thumb.jpg | images/VE-IMG-5975/__ia_thumb.jpg
bajo-el-cielo-del-paraguay_202204,https://archive.org/details/bajo-el-cielo-del-paraguay_202204,Bajo El Cielo Del Paraguay,Edgar Galeano Domínguez,,Música Paraguaya,image,Música Paraguaya: Bajo el cielo del Paraguay ( Versión Guaraní ),3,images/bajo-el-cielo-del-paraguay_202204/Bajo el Cielo del Paraguay.jpg | images/bajo-el-cielo-del-paraguay_202204/Bajo el Cielo del Paraguay_thumb.jpg | images/bajo-el-cielo-del-paraguay_202204/__ia_thumb.jpg
IMG4434_201610,https://archive.org/details/IMG4434_201610,IMG 4434,,,Radio Riodascobras; Radio Araca-i; Kaingang; Guarani; Rádio Popular; Rádio Livre,image,"Radio Rio das cobras, Rádio Araça-i",9,images/IMG4434_201610/13509017_870212403084405_5257210918290130455_n.jpg | images/IMG4434_201610/13509017_870212403084405_5257210918290130455_n_thumb.jpg | images/IMG4434_201610/DSC_8266.JPG | images/IMG4434_201610/DSC_8266_thumb.jpg | images/IMG4434_201610/IMG_4434.JPG | images/IMG4434_201610/IMG_4434_thumb.jpg | images/IMG4434_201610/__ia_thumb.jpg | images/IMG4434_201610/radioaracai.jpg | images/IMG4434_201610/radioaracai_thumb.jpg
primeiraconferenciadeculturaindigenadecuritibaabril2016fotos,https://archive.org/details/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos,Primeira Conferência de Cultura Indígena de Curitiba,,,rádio gralha movimento indígena,image,Primeira Conferência da Cultura Indígena de Curitiba Casarão da UPE/FCC 11/04/2016 Somos Todos Guarani-Kaiowá Curitiba Rádio Gralha,10,images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0007.JPG | images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0007_thumb.jpg | images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0012.JPG | images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0012_thumb.jpg | images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0014.JPG | images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0014_thumb.jpg | images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0016.JPG | images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0016_thumb.jpg | images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0034.JPG | images/primeiraconferenciadeculturaindigenadecuritibaabril2016fotos/DSC_0034_thumb.jpg
BankNotesOfParaguay-1952To2007,https://archive.org/details/BankNotesOfParaguay-1952To2007,Bank Notes of Paraguay - 1952 to 2007,"Herbert Hillary Booker 2nd - Tujunga, California - 2009",,Paraguay; Bank Notes; 1952; 2007; Paper Money; Currency; Guarani; Guaranies,image,"Bank notes of Paraguay in denominations of 1, 5, 10, 100, 500, 1000, 5000, 10000, and 20000 Guaranies.",10,images/BankNotesOfParaguay-1952To2007/0011952Paraguay1Guarani.jpg | images/BankNotesOfParaguay-1952To2007/0011952Paraguay1Guarani_thumb.jpg | images/BankNotesOfParaguay-1952To2007/0021952Paraguay5Guaranies.jpg | images/BankNotesOfParaguay-1952To2007/0021952Paraguay5Guaranies_thumb.jpg | images/BankNotesOfParaguay-1952To2007/0031952Paraguay10Guaranies.jpg | images/BankNotesOfParaguay-1952To2007/0031952Paraguay10Guaranies_thumb.jpg | images/BankNotesOfParaguay-1952To2007/0041982Paraguay100Guarani.jpg | images/BankNotesOfParaguay-1952To2007/0041982Paraguay100Guarani_thumb.jpg | images/BankNotesOfParaguay-1952To2007/0051982Paraguay500Guaranies.jpg | images/BankNotesOfParaguay-1952To2007/0051982Paraguay500Guaranies_thumb.jpg
noSeBailaAsNoMs...-DanzasDeBolivia,https://archive.org/details/noSeBailaAsNoMs...-DanzasDeBolivia,"""No se baila asi no mas..."" - Danzas de Bolivia",Eveline Sigl,2012-01-01T00:00:00Z,dance; folk; indigenous culture; Bolivia; aymara; quechua; guarani; Carnival; Carnaval; danza; baile; etnologÃ­a,image,"Libro sobre 240 danzas bolivianas, tanto folkloricas como autoctonas de toda Bolivia, con 350 fotos y un DVD con 98 videos.",3,images/noSeBailaAsNoMs_-DanzasDeBolivia/__ia_thumb.jpg | images/noSeBailaAsNoMs_-DanzasDeBolivia/tapa_danzas_de_bolivia_kl.jpg | images/noSeBailaAsNoMs_-DanzasDeBolivia/tapa_danzas_de_bolivia_kl_thumb.jpg
acosta-nu,https://archive.org/details/acosta-nu,Acosta Ñu,Edgar Galeano Domínguez,,Música Paraguaya,image,Música Paraguaya:  Acosta Ñu ( Versión Guaraní ),3,images/acosta-nu/Acosta Ñu.jpg | images/acosta-nu/Acosta Ñu_thumb.jpg | images/acosta-nu/__ia_thumb.jpg
3465647514609a86703c9Z,https://archive.org/details/3465647514609a86703c9Z,34656475146 09a 86703c 9 Z,,,Brasil,image, guaraní,3,images/3465647514609a86703c9Z/34656475146_09a86703c9_z.jpg | images/3465647514609a86703c9Z/34656475146_09a86703c9_z_thumb.jpg | images/3465647514609a86703c9Z/__ia_thumb.jpg
la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-donde-participara-el-seg,https://archive.org/details/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-donde-participara-el-seg,La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022,MI Agencia Héctor Lizárraga Vencis,2022-03-20T00:00:00Z,Compañía Folklórica; El Mazatleco; Parte; Paraguay; Participará; Segundo Festival Internacional de la Tierra Guaraní; 2022,image,La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 Ver Nota: Aquí>>,10,images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (1).jpeg | images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (1)_thumb.jpg | images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (10).jpeg | images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (10)_thumb.jpg | images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (11).jpeg | images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (11)_thumb.jpg | images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (12).jpeg | images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (12)_thumb.jpg | images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (13).jpeg | images/la-compania-folklorica-el-mazatleco-parte-a-paraguay-en-dond/La Compañía Folklórica el Mazatleco parte a Paraguay en donde participará el Segundo Festival Internacional de la Tierra Guaraní 2022 (13)_thumb.jpg
araca-i,https://archive.org/details/araca-i,Comunidade Araça-i,ernesto,,Guarani; araça-i; radio; resistencia,image,Comunidade Araça-i na construção da rádio popular indígena,10,images/araca-i/DSC_8126.JPG | images/araca-i/DSC_8126_thumb.jpg | images/araca-i/DSC_8129.JPG | images/araca-i/DSC_8129_thumb.jpg | images/araca-i/DSC_8130.JPG | images/araca-i/DSC_8130_thumb.jpg | images/araca-i/DSC_8137.JPG | images/araca-i/DSC_8137_thumb.jpg | images/araca-i/DSC_8139.JPG | images/araca-i/DSC_8139_thumb.jpg
boquita-de-miel,https://archive.org/details/boquita-de-miel,Boquita De Miel,Edgar Galeano Domínguez,,Música Paraguaya,image,Música Paraguaya: Boquita de Miel ( Versión Guaraní ),3,images/boquita-de-miel/Boquita de Miel.jpg | images/boquita-de-miel/Boquita de Miel_thumb.jpg | images/boquita-de-miel/__ia_thumb.jpg
ao-ao-monster-art-by-caio-sales.,https://archive.org/details/ao-ao-monster-art-by-caio-sales.,Ao Ao Monster,Caio Sales,2020-01-01T00:00:00Z,Guaraní; Guarani; Guaraní Mythology; Mitología; Mitología Guaraní; Art; Digital Art; Monster; Monsters,image,"Ao Ao Monster , art by Caio Sales . Uploaded only with historical and preservation purposes .",3,images/ao-ao-monster-art-by-caio-sales/__ia_thumb.jpg | images/ao-ao-monster-art-by-caio-sales/caio-sales-ao-ao-vertical-copy.jpg | images/ao-ao-monster-art-by-caio-sales/caio-sales-ao-ao-vertical-copy_thumb.jpg
